date,trading_code,last_traded_price,high,low,opening_price,closing_price,yesterdays_closing_price,trade,value_mn,volume
11/7/2017 0:00,1JANATAMF,6.6,6.6,6.5,6.6,6.5,6.6,113,3.091,473782
,,,,,,,,,,
11/6/2017 0:00,1JANATAMF,6.5,6.7,6.5,6.6,6.6,6.6,50,1.041,158519
,,,,,,,,,,
11/5/2017 0:00,1JANATAMF,6.6,6.7,6.6,6.6,6.6,6.6,47,0.797,120650
,,,,,,,,,,
11/2/2017 0:00,1JANATAMF,6.7,6.7,6.6,6.6,6.6,6.6,33,0.594,89715
,,,,,,,,,,
11/1/2017 0:00,1JANATAMF,6.6,6.7,6.5,6.5,6.6,6.5,48,0.52,79023
,,,,,,,,,,
10/31/2017 0:00,1JANATAMF,6.6,6.6,6.5,6.6,6.5,6.5,61,0.855,131082
,,,,,,,,,,
10/30/2017 0:00,1JANATAMF,6.5,6.7,6.5,6.6,6.5,6.6,51,0.467,71012
,,,,,,,,,,
10/29/2017 0:00,1JANATAMF,6.6,6.7,6.6,6.6,6.6,6.6,55,0.412,62407
,,,,,,,,,,
10/26/2017 0:00,1JANATAMF,6.6,6.7,6.6,6.7,6.6,6.7,31,0.832,125997
,,,,,,,,,,
10/25/2017 0:00,1JANATAMF,6.7,6.8,6.6,6.8,6.7,6.7,51,1.129,169704
,,,,,,,,,,
10/24/2017 0:00,1JANATAMF,6.7,6.8,6.7,6.7,6.7,6.7,34,0.534,79747
,,,,,,,,,,
10/23/2017 0:00,1JANATAMF,6.8,6.8,6.7,6.8,6.7,6.8,24,0.798,118969
,,,,,,,,,,
10/22/2017 0:00,1JANATAMF,6.7,6.8,6.7,6.7,6.8,6.8,37,1.208,179060
,,,,,,,,,,
10/19/2017 0:00,1JANATAMF,6.7,6.9,6.7,6.7,6.8,6.7,79,2.526,370016
,,,,,,,,,,
10/18/2017 0:00,1JANATAMF,6.7,6.7,6.6,6.6,6.7,6.6,40,1.729,258869
,,,,,,,,,,
10/17/2017 0:00,1JANATAMF,6.7,6.7,6.5,6.6,6.6,6.6,73,2.568,390733
,,,,,,,,,,
10/16/2017 0:00,1JANATAMF,6.6,6.7,6.6,6.7,6.6,6.7,43,0.843,127325
,,,,,,,,,,
10/15/2017 0:00,1JANATAMF,6.7,6.8,6.7,6.7,6.7,6.7,52,1.89,281932
,,,,,,,,,,
10/12/2017 0:00,1JANATAMF,6.7,6.8,6.7,6.8,6.7,6.7,41,0.94,139684
,,,,,,,,,,
10/11/2017 0:00,1JANATAMF,6.7,6.8,6.7,6.7,6.7,6.7,64,2.57,382681
,,,,,,,,,,
10/10/2017 0:00,1JANATAMF,6.8,6.9,6.7,6.8,6.7,6.8,84,4.76,706426
,,,,,,,,,,
10/9/2017 0:00,1JANATAMF,6.9,6.9,6.7,6.8,6.8,6.8,50,3.877,569893
,,,,,,,,,,
10/8/2017 0:00,1JANATAMF,6.7,6.9,6.7,6.9,6.8,6.9,104,7.456,1095770
,,,,,,,,,,
10/5/2017 0:00,1JANATAMF,6.9,7,6.8,7,6.9,7,135,11.94,1726007
,,,,,,,,,,
10/4/2017 0:00,1JANATAMF,6.9,7,6.9,6.9,7,6.9,67,4.128,591646
,,,,,,,,,,
